Year,Type,Country,Area,Location,Activity,Gender,Age,Fatal (Y/N)
2012.0,Unprovoked,FRENCH POLYNESIA,Tuamotus,Kaukura Atoll,fishing,M,,N
2012.0,Unprovoked,USA,California,"Topanga Beach, Los Angeles County",surfing,M,17.0,N
2012.0,Unprovoked,AUSTRALIA,South Australia,Streaky Bay,surfing,M,48.0,N
2012.0,Unprovoked,USA,Hawaii,"Mahaulepu Beach, Kauai",surfing,M,44.0,N
2012.0,Unprovoked,USA,Massachusetts,"Ballston Beach, Truro, Cape Cod",surfing,M,50.0,N
2012.0,Unprovoked,REUNION,Trois-Bassins,,surfing,M,22.0,Y
2012.0,Unprovoked,AUSTRALIA,Western Australia,Off Wedge Island,surfing,M,24.0,Y
2012.0,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",swimming,F,43.0,N
2012.0,Unprovoked,BAHAMAS,Eleuthera,,fishing,M,,N
2012.0,Boating,USA,California,"Pleasure Point, Santa Cruz County",other,M,52.0,N
2012.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sandstrand, Jongensfontein",surfing,M,29.0,N
2012.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",swimming,M,6.0,N
2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,26.0,N
2012.0,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",other,F,16.0,N
2012.0,Unprovoked,AUSTRALIA,Tasmania,South Cape Bay,surfing,M,,N
2012.0,Unprovoked,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",swimming,M,12.0,N
2012.0,Unprovoked,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",surfing,M,62.0,N
2012.0,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",wading,F,6.0,N
2012.0,Provoked,USA,Florida,"Summerland Key, Monroe County",fishing,M,23.0,N
2012.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",swimming,F,18.0,N
2012.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",swimming,M,,N
2012.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",swimming,M,16.0,N
2012.0,Unprovoked,AUSTRALIA,Victoria,Port Campbell,surfing,M,42.0,N
2012.0,Provoked,ITALY,Sardinia,Muravera,other,M,57.0,UNKNOWN
2012.0,Unprovoked,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",surfing,M,30.0,N
2012.0,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",surfing,F,12.0,N
2012.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",surfing,M,25.0,N
2012.0,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",wading,F,33.0,N
2012.0,Unprovoked,MEXICO,Guerrero," Boca de la Leña, La Unión",diving,M,46.0,N
2012.0,Unprovoked,USA,Florida,"Jacksonville, Duval County",surfing,M,22.0,N
2012.0,Boating,USA,Hawaii,"Iroquiois Point, Oahu",fishing,M,,N
2012.0,Unprovoked,FIJI,,Matacucu Reef ,fishing,M,20.0,N
2012.0,"Valid, but unknown",USA,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",fishing,M,30.0,N
2012.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",swimming,F,47.0,N
2012.0,"Valid, but unknown",USA,California,Off Catalina Island,paddling,F,15.0,N
2012.0,Unprovoked,USA,Florida,"Indialantic, Brevard County",surfing,M,28.0,N
2012.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Caves near Kogel Bay,surfing,M,20.0,Y
2012.0,Boating,AUSTRALIA,South Australia,"Dolphin Bay, Innes National Park",other,M,27.0,N
2012.0,Unprovoked,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",surfing,M,28.0,N
2012.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",unknown,M,,N
2012.0,Unprovoked,AUSTRALIA,Western Australia,Stratham Beach,diving,M,33.0,Y
2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,21.0,N
2012.0,"Valid, but unknown",AUSTRALIA,Western Australia,Kalbarri,fishing,Unknown,,N
2012.0,Unprovoked,AUSTRALIA,Queensland,Nobby's Beach,surfing,M,20.0,N
2012.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",surfing,M,61.0,N
2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,F,15.0,N
2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,17.0,N
2012.0,Unprovoked,NEW ZEALAND,North Island,"Opunake, Taranake",surfing,M,,N
2012.0,Provoked,AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium",diving,F,34.0,N
2012.0,Unprovoked,REUNION,Saint-Benoit,Port de la Marine,surfing,M,31.0,N
2012.0,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",surfing,M,19.0,N
2012.0,Provoked,CHILE,Antofagasta Province,Antofagasta,fishing,M,,N
2012.0,Provoked,USA,Florida,"Palm Beach Inlet, Palm Beach County",surfing,M,,N
2012.0,Unprovoked,AUSTRALIA,New South Wales,Broughton Island,fishing,M,,N
2012.0,Boating,SOUTH AFRICA,Western Cape Province,Strandfontein,fishing,Unknown,,N
2012.0,Unprovoked,AUSTRALIA,Queensland,Wurtulla,surfing,M,29.0,N
2012.0,Unprovoked,USA,Hawaii,Lanai,other,Unknown,,N
2012.0,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,other,M,26.0,N
2012.0,Unprovoked,BAHAMAS,,Cat Island,diving,M,,N
2012.0,Provoked,TAIWAN,Taitung ,Taimali,fishing,M,24.0,N
2012.0,Unprovoked,AUSTRALIA,New South Wales,Redhead Beach,surfing,M,44.0,N
2012.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",swimming,M,25.0,Y
2012.0,"Valid, but unknown",USA,Oregon,"Lincoln City, Lincoln County",surfing,M,53.0,N
2012.0,Unprovoked,AUSTRALIA,New South Wales,North Avoca Beach,surfing,M,28.0,N
2012.0,Unprovoked,AUSTRALIA,Queensland,Duranbah,fishing,M,34.0,N
2011.0,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",unknown,M,,N
2011.0,Unprovoked,ECUADOR,Santa Elena,Barandúa Beach,surfing,M,23.0,N
2011.0,Unprovoked,USA,Florida,New Smyrna Beach,surfing,M,27.0,N
2011.0,Provoked,USA,Hawaii,"Makahuena Point, Kauai",other,M,,N
2011.0,Boating,SOUTH AFRICA,Eastern Cape Province,"Noordhoek, Port Elizabeth",fishing,M,35.0,N
2011.0,Unprovoked,AUSTRALIA,New South Wales,Angourie,surfing,M,51.0,N
2011.0,Unprovoked,AUSTRALIA,New South Wales,Maroubra,surfing,M,14.0,N
2011.0,Unprovoked,USA,Oregon,Seaside Cove,surfing,F,,N
2011.0,Unprovoked,AUSTRALIA,New South Wales,Broken Head,surfing,M,63.0,N
2011.0,Unprovoked,INDONESIA,Bali,Tabanan,surfing,M,18.0,N
2011.0,Unprovoked,AUSTRALIA,Queensland,Peregian,swimming,M,10.0,N
2011.0,Boating,USA,California,Pigeon Point,other,M,,N
2011.0,Unprovoked,PAPUA NEW GUINEA,East New Britain,Pigeon Island,diving,M,,N
2011.0,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",surfing,M,35.0,N
2011.0,Unprovoked,REUNION,Bois-Blanc ,Sainte-Rose,diving,M,42.0,N
2011.0,"Valid, but unknown",USA,California,"Marina State Beach, Monterey County",surfing,M,27.0,N
2011.0,Unprovoked,SCOTLAND,Moray,Spey Bay,surfing,M,26.0,N
2011.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,"uShaka Aquarium, Durban",diving,Unknown,,N
2011.0,Unprovoked,AUSTRALIA,Western Australia,Rottnest Island,diving,M,32.0,Y
2011.0,Unprovoked,USA,Oregon,"Newport, Lincoln County",surfing,M,41.0,N
2011.0,Unprovoked,AUSTRALIA,Victoria,Elwood Beach,diving,M,50.0,N
2011.0,Unprovoked,USA,Florida,Cape Canaveral,surfing,M,,N
2011.0,Unprovoked,USA,Oregon,Seaside,surfing,M,,N
2011.0,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach,swimming,M,64.0,Y
2011.0,Boating,REUNION,,Cap La Houssaye,other,M,51.0,N
2011.0,Unprovoked,USA,Florida,"Santa Maria Island, Manatee County",fishing,M,,N
2011.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",unknown,M,29.0,N
2011.0,Provoked,DOMINICAN REPUBLIC,Samaná Province,Playa Jackson ,fishing,M,48.0,N
2011.0,"Valid, but unknown",SOUTH AFRICA,Western Cape Province,Clovely Beach,swimming,M,43.0,N
2011.0,Unprovoked,USA,Florida,"Santa Maria Island, Manatee County",fishing,M,21.0,N
2011.0,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",other,M,5.0,N
2011.0,Boating,USA,Hawaii,Kauai,other,M,,N
2011.0,Unprovoked,REUNION,Saint-Gilles,Boucan-Canot,surfing,M,38.0,Y
2011.0,Unprovoked,KENYA,Coast Province,"Mama Ngina Beach, Mombasa ",swimming,M,17.0,Y
2011.0,Unprovoked,USA,Florida,New Smyrna Beach,surfing,M,25.0,N
2011.0,Unprovoked,USA,California,"Samoa Beach, Humboldt County",surfing,M,37.0,N
2011.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Hula, near Port Moresby",surfing,M,30.0,N
2011.0,Unprovoked,USA,Hawaii,"Nimitz State Beach, Oahu",surfing,Unknown,,N
2011.0,"Valid, but unknown",AUSTRALIA,Western Australia, Bunker Bay,surfing,M,21.0,Y
2011.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,19.0,N
2011.0,Unprovoked,USA,Florida,Crescent Beach St. Johns County,surfing,M,19.0,N
2011.0,Unprovoked,USA,Texas,"Grass Island, Aransas County",fishing,F,39.0,N
2011.0,Unprovoked,RUSSIA,Primorsky Krai,Slavyanka,standing,M,,N
2011.0,Unprovoked,USA,North Carolina,"Buxton Beach, Dare County",surfing,M,21.0,N
2011.0,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,unknown,M,10.0,N
2011.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",surfing,M,49.0,Y
2011.0,Unprovoked,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,swimming,M,16.0,N
2011.0,Unprovoked,USA,North Carolina,"Kure Beach, New Hanover County",wading,F,,N
2011.0,Unprovoked,RUSSIA,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Vityaz,swimming,M,25.0,N
2011.0,Unprovoked,FRENCH POLYNESIA,Society Islands,"Teahupoo, Tahiti",surfing,M,32.0,N
2011.0,Unprovoked,USA,Puerto Rico, Vieques,swimming,M,27.0,N
2011.0,Unprovoked,SEYCHELLES,Praslin,Anse Lazio ,swimming,M,30.0,Y
2011.0,Unprovoked,USA,North Carolina,Beaufort Inlet,swimming,M,54.0,N
2011.0,Unprovoked,SEYCHELLES,Praslin,Anse Lazio ,diving,M,36.0,Y
2011.0,Sea Disaster,PHILIPPINES,,,other,M,43.0,N
2011.0,Unprovoked,USA,New Jersey,"Egg Harbor, Atlantic County",fishing,M,,N
2011.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Cintza Beach, East London",surfing,M,29.0,N
2011.0,Unprovoked,USA,North Carolina,"Ocracoke Island, Hyde County",surfing,F,6.0,N
2011.0,Boating,REUNION,Saint-Gilles,Brisants. ,other,M,,N
2011.0,Unprovoked,USA,Texas,"South Padre Island, Cameron County",fishing,M,,N
2011.0,Unprovoked,BAHAMAS,Grand Bahama Island,Off Lucaya,diving,M,54.0,N
2011.0,Unprovoked,USA,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",swimming,M,12.0,N
2011.0,Unprovoked,USA,Texas,"Mustang Island, Nueces County",fishing,M,14.0,N
2011.0,Unprovoked,REUNION,Saint-Gilles,Roches Noires,surfing,M,16.0,N
2011.0,Unprovoked,COLUMBIA,Sucre,"Libertad, San Onofre",other,M,17.0,N
2011.0,Unprovoked,TURKS & CAICOS,Middle Caicos,Mudjin Harbor,other,M,28.0,N
2011.0,Unprovoked,BRAZIL,Pernambuco,Praia do Pina,surfing,M,21.0,N
2011.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,diving,M,22.0,N
2011.0,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",surfing,F,10.0,N
2011.0,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",surfing,M,,N
2011.0,Unprovoked,USA,Florida,"Perdido Key, Escambia County",other,M,20.0,N
2011.0,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,fishing,M,35.0,N
2011.0,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,surfing,M,15.0,Y
2011.0,Unprovoked,REUNION,Saint-Gilles-les-Bains,Boucan-Canot,surfing,M,31.0,Y
2011.0,Boating,UNITED KINGDOM,Cornwall,St. Ives,fishing,Unknown,,N
2011.0,Unprovoked,USA,Florida,"Off Jupiter Inlet, Palm Beach County",diving,M,28.0,N
2011.0,Unprovoked,COLUMBIA,San Andrés archipelago,Albuquerque Cay,fishing,M,24.0,N
2011.0,Unprovoked,USA,California,"La Jolla, San Diego County",fishing,M,28.0,N
2011.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",wading,M,19.0,N
2011.0,Unprovoked,MALAYSIA,Kedah,Palau Payar,other,F,,N
2011.0,Unprovoked,USA,Texas,"Follett's Island, Brazoria County",standing,F,22.0,N
2011.0,"Valid, but unknown",SOUTH AFRICA,Western Cape Province,Robberg Beach,surfing,M,33.0,N
2011.0,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",surfing,F,,N
2011.0,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",paddling,F,,N
2011.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Levan Point,fishing,M,28.0,Y
2011.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",surfing,M,86.0,N
2011.0,Unprovoked,NEW CALEDONIA,North Province,Kendec,surfing,M,15.0,Y
2011.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",surfing,M,37.0,N
2011.0,Provoked,USA,Florida,Miami,fishing,M,,N
2011.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,fishing,M,37.0,N
2011.0,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",fishing,M,32.0,N
2011.0,Unprovoked,AUSTRALIA,Western Australia,Red Bluffs,other,M,17.0,N
2011.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,49.0,N
2011.0,Unprovoked,NEW ZEALAND,South Island,Snapper Point,surfing,M,41.0,N
2011.0,Unprovoked,INDONESIA,Bali,Balian,surfing,M,,N
2011.0,Unprovoked,FIJI,Vitu Levu,"Malake Island, Ra Province",diving,M,27.0,N
2011.0,Provoked,USA,Texas,Matagorda Beach,standing,M,,N
2011.0,Unprovoked,MEXICO,Quintana Roo,"Gaviotas Beach, Cancun",swimming,F,,N
2011.0,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,surfing,M,48.0,N
2011.0,Unprovoked,MEXICO,Quintana Roo,,swimming,M,46.0,N
2011.0,Unprovoked,FIJI,,Nukudamu ,diving,M,30.0,N
2011.0,Unprovoked,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",surfing,F,24.0,N
2011.0,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",surfing,M,,N
2011.0,Provoked,AUSTRALIA,Queensland,Between ,fishing,M,36.0,N
2011.0,Unprovoked,NEW CALEDONIA, Loyalty Islands,"Bay of Bweedro, Ouvéa",fishing,M,21.0,N
2011.0,Unprovoked,REUNION,Saint Gilles ,Trois-Roches,surfing,M,32.0,N
2011.0,Unprovoked,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,diving,M,49.0,Y
2011.0,Provoked,AUSTRALIA,Queensland,Sunshine Beach,fishing,M,,N
2011.0,Unprovoked,AUSTRALIA,Western Australia,Exmouth,other,M,58.0,N
2011.0,Provoked,MEXICO,Colima,"Manzanillo, Revillagigedo Islands",fishing,M,,N
2011.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",fishing,M,37.0,N
2011.0,Unprovoked,MEXICO,Quintana Roo,Cancun,swimming,F,38.0,N
2011.0,Provoked,MEXICO,Colima,Revillagigedo Islands,fishing,M,25.0,N
2011.0,Unprovoked,BAHAMAS,West End,Tiger Beach,diving,M,55.0,N
2011.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",surfing,M,16.0,Y
2011.0,Unprovoked,MEXICO,Quintana Roo,Xcalak ,other,M,37.0,N
2011.0,"Valid, but unknown",AUSTRALIA,Western Australia,Busselton,fishing,Unknown,,N
2010.0,Unprovoked,USA,Hawaii," Kahului, Maui",surfing,M,16.0,N
2010.0,Unprovoked,FIJI,Vitu Levu,Sigatoka,surfing,M,,N
2010.0,Unprovoked,USA,Hawaii,"Tavares Bay, Maui",surfing,M,46.0,N
2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",other,F,70.0,Y
2010.0,Unprovoked,INDONESIA,Bali,Balian,surfing,M,,N
2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",other,M,54.0,N
2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",other,M,46.0,N
2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",other,F,70.0,N
2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",other,F,48.0,N
2010.0,Unprovoked,SAMOA,,,fishing,M,47.0,N
2010.0,Provoked,USA,Palmyra Atoll,,other,M,33.0,N
2010.0,Unprovoked,DOMINICAN REPUBLIC,,Boca Chica,diving,M,21.0,Y
2010.0,Unprovoked,INDONESIA,Bali,Balian,surfing,M,,N
2010.0,"Valid, but unknown",AUSTRALIA,Western Australia,Between Carnac and Garden Islands,fishing,M,,N
2010.0,"Valid, but unknown",AUSTRALIA,Western Australia,Off Garden Island,other,F,20.0,N
2010.0,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,fishing,M,,N
2010.0,Unprovoked,USA,Oregon,Florence,surfing,M,,N
2010.0,Provoked,AZORES,,350 miles from Faial Island,fishing,M,,N
2010.0,Unprovoked,USA,Maine,"Burnt Cove near Eastport, Washington County",diving,M,30.0,N
2010.0,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,surfing,M,14.0,N
2010.0,Unprovoked,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",surfing,M,19.0,Y
2010.0,Unprovoked,EGYPT,South Sinai Peninsula,Sharm el-Sheikh ,other,F,,N
2010.0,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,surfing,M,22.0,N
2010.0,Unprovoked,BAHAMAS,Exuma Islands,,other,M,,N
2010.0,Unprovoked,BAHAMAS,Abaco Islands,Elbow Cay,surfing,F,,N
2010.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",surfing,M,,N
2010.0,"Valid, but unknown",USA,Oregon,Winchester Bay,surfing,M,29.0,N
2010.0,Unprovoked,USA,Virginia,Sandridge Beach,surfing,M,18.0,N
2010.0,"Valid, but unknown",SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,swimming,M,29.0,Y
2010.0,"Valid, but unknown",AUSTRALIA,New South Wales,Fraser's Reef,surfing,M,15.0,N
2010.0,Unprovoked,USA,Florida,"St. Augustine, St. John's County",swimming,M,27.0,N
2010.0,Unprovoked,TONGA,Ha'api ,,swimming,M,24.0,N
2010.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,,N
2010.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,24.0,N
2010.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,24.0,N
2010.0,Unprovoked,SOLOMON ISLANDS,Western Province,,unknown,M,34.0,N
2010.0,Unprovoked,USA,Florida,Crescent Beach St. Johns County,surfing,M,10.0,N
2010.0,"Valid, but unknown",AUSTRALIA,Western Australia,Cowaramup Bay,surfing,M,31.0,Y
2010.0,"Valid, but unknown",USA,California,"Pigeon Point, San Mateo County",fishing,M,45.0,N
2010.0,Provoked,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",fishing,F,,N
2010.0,Unprovoked,SOUTH KOREA,Jeju Province,Jeju Island,swimming,F,16.0,N
2010.0,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,surfing,M,47.0,N
2010.0,Unprovoked,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",surfing,M,25.0,N
2010.0,Unprovoked,MALTA,,"Off Fort St. Elmo, Valetta",surfing,M,35.0,N
2010.0,Boating,USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",other,M,,N
2010.0,Unprovoked,USA,Florida,"Micklers Landing, St. Johns County",standing,F,37.0,N
2010.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",standing,M,16.0,N
2010.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",surfing,M,20.0,N
2010.0,Unprovoked,USA,South Carolina,Myrtle Beach,swimming,M,10.0,N
2010.0,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",swimming,F,13.0,N
2010.0,Unprovoked,USA,Florida,New Smyrna Beach,surfing,M,55.0,N
2010.0,Provoked,SPAIN,Grand Canary Island,"Sardina del Norte, Gáldar",swimming,M,9.0,N
2010.0,Unprovoked,USA,Texas,Galveston,fishing,M,,N
2010.0,Provoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",fishing,M,,N
2010.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",other,F,21.0,N
2010.0,Provoked,USA,New York,Off Long Island,fishing,M,20.0,N
2010.0,Unprovoked,USA,California,"Pismo Beach, San Luis  Obispo County",surfing,M,19.0,N
2010.0,Unprovoked,USA,California,"Dog Patch, San Onofre",paddling,M,48.0,N
2010.0,Unprovoked,USA,Texas,"Eight Mile Beach, Galveston",surfing,M,20.0,N
2010.0,Unprovoked,USA,South Carolina,Fripp Island,surfing,F,6.0,N
2010.0,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",swimming,F,13.0,N
2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,swimming,M,17.0,N
2010.0,Unprovoked,USA,Florida,Jacksonville,surfing,F,18.0,N
2010.0,Unprovoked,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",surfing,M,40.0,N
2010.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",surfing,M,20.0,N
2010.0,Provoked,USA,Florida,Off Tarpon Springs,fishing,M,49.0,N
2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,other,F,58.0,N
2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,swimming,F,60.0,N
2010.0,Unprovoked,AUSTRALIA,New South Wales,Point Plomer,surfing,M,,N
2010.0,Unprovoked,MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",diving,M,59.0,N
2010.0,Unprovoked,USA,Florida,New Smyrna Beach,wading,F,10.0,N
2010.0,Provoked,USA,Florida,Hanalei Bay,other,M,29.0,N
2010.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",surfing,M,68.0,N
2010.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",surfing,M,35.0,N
2010.0,Unprovoked,EGYPT,Sinai Peninsula,Sharm el-Sheikh ,swimming,M,24.0,N
2010.0,Unprovoked,REUNION,Saint-Benoit,Bittern,surfing,M,34.0,N
2010.0,Unprovoked,NEW ZEALAND,South Island,Tahunanui Beach,swimming,M,,N
2010.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,surfing,M,,N
2010.0,Unprovoked,FIJI,Off Vanua Levu,Nara Reef,diving,M,19.0,Y
2010.0,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays",other,F,60.0,N
2010.0,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",surfing,M,46.0,N
2010.0,Provoked,NEW ZEALAND,South Island,Cosy Nook,fishing,M,,N
2010.0,Unprovoked,AUSTRALIA,New South Wales,Turners' Beach,surfing,M,18.0,N
2010.0,Provoked,USA,Florida,Riviera Beach,fishing,M,,N
2010.0,Unprovoked,USA,Florida,"Stuart, Martin County",surfing,M,38.0,Y
2010.0,Provoked,NEW ZEALAND,South Island,Oreti Beach,surfing,F,14.0,N
2010.0,Unprovoked,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",surfing,M,29.0,N
2010.0,Unprovoked,AUSTRALIA,Queensland,Archie's Beach,surfing,M,,N
2010.0,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",surfing,M,54.0,N
2010.0,Unprovoked,AUSTRALIA,Victoria,Geelong,surfing,M,,N
2010.0,"Valid, but unknown",SOUTH AFRICA,Western Province,Fish Hoek,standing,M,37.0,Y
2010.0,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,other,F,9.0,N
2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,unknown,F,,N
2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,unknown,M,,N
2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,other,M,,N
2010.0,Unprovoked,USA,Florida,Elliot Key,fishing,M,32.0,N
2010.0,Unprovoked,SOUTH AFRICA,Eastern Province,"Nahoon, East London",surfing,M,,N
2009.0,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,wading,M,20.0,N
2009.0,Provoked,AUSTRALIA,New South Wales,Avoca Beach,swimming,M,55.0,N
2009.0,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,swimming,M,27.0,N
2009.0,Boating,AUSTRALIA,Queensland,Mudjimba Island,other,M,,N
2009.0,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,fishing,M,18.0,N
2009.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",paddling,M,22.0,Y
2009.0,Unprovoked,NEW ZEALAND,South Island,Clark Island,swimming,M,24.0,Y
2009.0,Unprovoked,AUSTRALIA,New South Wales,Coffee Head,surfing,M,39.0,N
2009.0,"Valid, but unknown",AUSTRALIA,New South Wales,Hawks Nest Beach,other,Unknown,,N
2009.0,Provoked,USA,New Jersey,"Adventure Aquarium, Camden",diving,M,58.0,N
2009.0,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",wading,M,10.0,N
2009.0,Unprovoked,USA,California,"Loch Lomond, Marin County",fishing,M,31.0,N
2009.0,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",surfing,M,22.0,N
2009.0,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",surfing,F,27.0,N
2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,18.0,N
2009.0,Unprovoked,AUSTRALIA,South Australia,Second Valley,other,M,25.0,N
2009.0,Unprovoked,USA,California,"Davenport, Santa Cruz County",surfing,M,21.0,N
2009.0,Boating,AUSTRALIA,Victoria,Portland,other,M,27.0,N
