Year,Type,Country,Area,Location,Activity,Gender,Age,Fatal (Y/N)
2017.0,Sea Disaster,LIBYA,, Gars Garabulli,other,Unknown,,Y
2017.0,Unprovoked,USA,California,"Stillwater Cove, Monterey County",fishing,M,25.0,N
2017.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",surfing,F,14.0,N
2017.0,Unprovoked,,,,surfing,M,24.0,N
2017.0,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,surfing,M,25.0,N
2017.0,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,other,M,22.0,Y
2017.0,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,other,M,7.0,N
2017.0,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,surfing,M,31.0,N
2017.0,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",paddling,M,,N
2017.0,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,swimming,M,,N
2017.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",surfing,M,17.0,N
2017.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",swimming,F,60.0,N
2017.0,Unprovoked,AUSTRALIA,South Australia,Normanville,fishing,F,15.0,N
2017.0,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",other,M,,N
2017.0,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",swimming,M,,N
2017.0,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",surfing,M,54.0,N
2017.0,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",other,F,40.0,N
2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",surfing,M,,N
2017.0,Unprovoked,AUSTRALIA,Western Australia,Gracetown,surfing,M,,N
2017.0,Unprovoked,USA,Florida,Fort Worth,surfing,M,,N
2017.0,Unprovoked,USA,Florida,Palm Beach County,surfing,M,,N
2017.0,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,surfing,M,13.0,N
2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,M,28.0,N
2017.0,Boating,AUSTRALIA,Westerm Australia,Esperance,fishing,Unknown,,N
2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,M,18.0,N
2017.0,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,swimming,M,,N
